init data done
京,0.55914 |  京,0.55914 方,0.07137
航,0.00127 |  大,0.13687 市,0.09609
空,0.88819 |  空,0.88819 海,0.03774
航,0.02902 |  公,0.06454 的,0.05870
天,0.65844 |  天,0.65844 空,0.11566
大,0.11113 |  局,0.11546 大,0.11113
学,0.87878 |  学,0.87878 厦,0.03240
创,0.00265 |  的,0.09742 ，,0.05337
建,0.10084 |  立,0.38375 办,0.20678
于,0.03923 |  的,0.18797 。,0.06841
1,0.52637 |  1,0.52637 2,0.23222
9,0.96219 |  9,0.96219 8,0.02176
5,0.08657 |  9,0.20505 8,0.16625
2,0.09351 |  0,0.14461 8,0.11226
年,0.99442 |  年,0.99442 -,0.00158
，,0.34194 |  ，,0.34194 。,0.24793
是,0.02598 |  并,0.03871 在,0.03674
由,0.02619 |  一,0.11846 中,0.04964
当,0.00830 |  于,0.06333 中,0.04638
时,0.84726 |  时,0.84726 地,0.07898
清,0.00157 |  的,0.21970 中,0.03761
华,0.36663 |  华,0.36663 朝,0.28379
大,0.85508 |  大,0.85508 学,0.04037
学,0.99923 |  学,0.99923 屠,0.00033
等,0.00221 |  的,0.10083 、,0.01899
八,0.00101 |  学,0.09688 校,0.03814
所,0.10401 |  个,0.23018 所,0.10401
院,0.00937 |  学,0.22416 大,0.05641
笑,0.00000 |  校,0.69140 士,0.06927
的,0.03638 |  所,0.03863 的,0.03638
航,0.00238 |  学,0.19786 教,0.03948
空,0.70470 |  空,0.70470 班,0.07449
院,0.00129 |  公,0.28022 工,0.07060
系,0.00897 |  校,0.18893 所,0.08944
合,0.00891 |  统,0.10006 ，,0.03892
并,0.50729 |  并,0.50729 作,0.22744
而,0.76347 |  而,0.76347 成,0.06357
成,0.93060 |  成,0.93060 来,0.06418
的,0.23382 |  。,0.60679 的,0.23382
新,0.00417 |  。,0.37440 ，,0.16297
中,0.01093 |  校,0.08529 建,0.05947
国,0.58743 |  国,0.58743 学,0.05412
第,0.01188 |  大,0.13221 航,0.10606
一,0.79515 |  一,0.79515 二,0.09600
所,0.41045 |  所,0.41045 个,0.14702
航,0.06290 |  学,0.08764 航,0.06290
空,0.90738 |  空,0.90738 班,0.03382
航,0.10567 |  学,0.12485 公,0.12418
天,0.48332 |  天,0.48332 空,0.37323
科,0.05702 |  大,0.17846 工,0.09622
技,0.36677 |  学,0.47690 技,0.36677
大,0.28157 |  大,0.28157 学,0.22640
学,0.99598 |  学,0.99598 楼,0.00140
。,0.50940 |  。,0.50940 ，,0.20849
参,0.00014 |  
,0.52326 1,0.07724
与,0.44482 |  与,0.44482 见,0.25298
组,0.00107 |  了,0.06434 的,0.04260
建,0.36333 |  建,0.36333 织,0.34049
北,0.01815 |  的,0.07414 了,0.05030
京,0.93288 |  京,0.93288 方,0.00874
航,0.10402 |  大,0.24509 航,0.10402
空,0.97708 |  空,0.97708 天,0.00832
学,0.13517 |  航,0.15180 学,0.13517
院,0.91254 |  院,0.91254 校,0.07780
的,0.16412 |  ，,0.19539 的,0.16412
八,0.00093 |  学,0.05346 航,0.04441
所,0.05650 |  大,0.15531 个,0.10487
院,0.00229 |  航,0.19357 学,0.17467
校,0.70157 |  校,0.70157 系,0.11486
的,0.01871 |  。,0.32492 ，,0.24348
航,0.03791 |  学,0.05610 航,0.03791
空,0.72980 |  空,0.72980 班,0.11470
院,0.00063 |  公,0.17025 业,0.05150
系,0.01661 |  ，,0.20096 校,0.18572
指,0.00081 |  ，,0.21435 。,0.12179
的,0.00730 |  挥,0.16109 南,0.12064
是,0.90708 |  是,0.90708 就,0.00588
：,0.00730 |  北,0.10534 中,0.07526
清,0.00511 |  
,0.32204 中,0.04332
华,0.68342 |  华,0.68342 朝,0.08947
大,0.87080 |  大,0.87080 学,0.05803
学,0.99963 |  学,0.99963 道,0.00015
、,0.14459 |  、,0.14459 ，,0.05297
北,0.11000 |  北,0.11000 南,0.09436
洋,0.00316 |  京,0.97719 平,0.00598
大,0.44509 |  大,0.44509 航,0.20871
学,0.98168 |  学,0.98168 都,0.00178
（,0.01381 |  、,0.70846 和,0.04304
今,0.04204 |  1,0.08162 北,0.07794
天,0.09635 |  北,0.17109 南,0.15339
津,0.50282 |  津,0.50282 的,0.11190
大,0.52297 |  大,0.52297 市,0.11930
学,0.99602 |  学,0.99602 专,0.00112
）,0.73107 |  ）,0.73107 、,0.06874
、,0.56760 |  、,0.56760 和,0.04931
西,0.01781 |  北,0.13460 南,0.10317
北,0.21997 |  南,0.28690 北,0.21997
工,0.01150 |  大,0.39296 航,0.06155
学,0.12849 |  程,0.54639 业,0.20253
院,0.99507 |  院,0.99507 校,0.00152
（,0.21624 |  、,0.54019 （,0.21624
今,0.06524 |  1,0.11640 现,0.08793
西,0.01219 |  北,0.23095 南,0.13869
北,0.26721 |  南,0.30549 北,0.26721
工,0.02238 |  大,0.54472 科,0.02734
业,0.47815 |  业,0.47815 程,0.27347
大,0.98589 |  大,0.98589 学,0.00627
学,0.99996 |  学,0.99996 道,0.00002
）,0.85827 |  ）,0.85827 、,0.03662
、,0.69471 |  、,0.69471 和,0.04526
厦,0.00036 |  北,0.20664 南,0.14956
门,0.89535 |  门,0.89535 大,0.02290
大,0.56650 |  大,0.56650 高,0.02266
学,0.98948 |  学,0.98948 道,0.00158
、,0.35018 |  、,0.35018 （,0.20847
华,0.01407 |  北,0.15534 南,0.15240
北,0.13297 |  东,0.46040 南,0.16643
大,0.39119 |  大,0.39119 工,0.04657
学,0.98113 |  学,0.98113 专,0.00249
工,0.00372 |  、,0.59108 （,0.04506
学,0.09701 |  程,0.72331 业,0.10685
院,0.97485 |  院,0.97485 系,0.01004
（,0.06739 |  、,0.61675 （,0.06739
今,0.07484 |  现,0.08599 北,0.08482
北,0.20300 |  北,0.20300 南,0.16045
京,0.99130 |  京,0.99130 平,0.00397
理,0.01217 |  大,0.81147 市,0.02249
工,0.99222 |  工,0.99222 学,0.00366
大,0.98717 |  大,0.98717 学,0.01105
学,0.99995 |  学,0.99995 道,0.00002
）,0.79295 |  ）,0.79295 、,0.03220
、,0.60155 |  、,0.60155 。,0.08741
西,0.02310 |  北,0.13928 南,0.11886
南,0.30944 |  南,0.30944 北,0.22741
工,0.04421 |  大,0.47375 工,0.04421
业,0.20613 |  程,0.59205 业,0.20613
专,0.01133 |  大,0.91108 学,0.04652
科,0.82962 |  科,0.82962 业,0.07843
学,0.97672 |  学,0.97672 技,0.01135
校,0.67294 |  校,0.67294 院,0.32493
（,0.35666 |  （,0.35666 、,0.33324
今,0.07111 |  北,0.12094 1,0.10162
重,0.00406 |  北,0.23574 南,0.20716
庆,0.98912 |  庆,0.98912 点,0.00752
建,0.00171 |  大,0.31989 南,0.13719
