init data done
京,0.55914 |  京,0.55914 方,0.07137
航,0.00127 |  大,0.13687 市,0.09609
空,0.88819 |  空,0.88819 海,0.03774
航,0.02902 |  公,0.06454 的,0.05870
天,0.65844 |  天,0.65844 空,0.11566
大,0.11113 |  局,0.11546 大,0.11113
学,0.87878 |  学,0.87878 厦,0.03240
创,0.00265 |  的,0.09742 ，,0.05337
建,0.10084 |  立,0.38375 办,0.20678
于,0.03923 |  的,0.18797 。,0.06841
1,0.52637 |  1,0.52637 2,0.23222
9,0.96219 |  9,0.96219 8,0.02176
5,0.08657 |  9,0.20505 8,0.16625
2,0.09351 |  0,0.14461 8,0.11226
年,0.99442 |  年,0.99442 -,0.00158
，,0.34194 |  ，,0.34194 。,0.24793
是,0.02598 |  并,0.03871 在,0.03674
由,0.02619 |  一,0.11846 中,0.04964
当,0.00830 |  于,0.06333 中,0.04638
时,0.84726 |  时,0.84726 地,0.07898
清,0.00157 |  的,0.21970 中,0.03761
华,0.36663 |  华,0.36663 朝,0.28379
大,0.85508 |  大,0.85508 学,0.04037
学,0.99923 |  学,0.99923 屠,0.00033
等,0.00221 |  的,0.10083 、,0.01899
八,0.00101 |  学,0.09688 校,0.03814
所,0.10401 |  个,0.23018 所,0.10401
院,0.00937 |  学,0.22416 大,0.05641
校,0.69140 |  校,0.69140 士,0.06927
的,0.07104 |  的,0.07104 所,0.06539
航,0.00318 |  学,0.09839 教,0.02831
空,0.70320 |  空,0.70320 班,0.09977
院,0.00123 |  公,0.26296 工,0.08318
系,0.00687 |  所,0.10137 校,0.08955
合,0.00841 |  统,0.15051 所,0.03610
并,0.51448 |  并,0.51448 作,0.21247
而,0.75114 |  而,0.75114 成,0.06833
成,0.93493 |  成,0.93493 来,0.05987
的,0.22110 |  。,0.62336 的,0.22110
新,0.00437 |  。,0.37405 ，,0.16028
中,0.01097 |  校,0.09134 建,0.06553
国,0.58914 |  国,0.58914 学,0.05143
第,0.01269 |  大,0.14150 航,0.11422
一,0.78592 |  一,0.78592 二,0.10026
所,0.40842 |  所,0.40842 个,0.14323
航,0.06669 |  学,0.08106 航,0.06669
空,0.90723 |  空,0.90723 班,0.03594
航,0.09771 |  公,0.13980 学,0.11773
天,0.45255 |  天,0.45255 空,0.39442
科,0.05680 |  大,0.18346 工,0.10140
技,0.38228 |  学,0.45909 技,0.38228
大,0.29361 |  大,0.29361 学,0.22425
学,0.99625 |  学,0.99625 楼,0.00128
。,0.51722 |  。,0.51722 ，,0.20845
参,0.00014 |  
,0.52297 1,0.07380
与,0.45655 |  与,0.45655 见,0.24351
组,0.00112 |  了,0.06001 的,0.04248
建,0.36529 |  建,0.36529 织,0.34150
北,0.01877 |  的,0.07365 了,0.04726
京,0.93203 |  京,0.93203 平,0.00892
航,0.10554 |  大,0.25119 航,0.10554
空,0.97756 |  空,0.97756 天,0.00781
学,0.13709 |  航,0.14816 学,0.13709
院,0.91328 |  院,0.91328 校,0.07703
的,0.16606 |  ，,0.19270 的,0.16606
八,0.00093 |  学,0.05372 航,0.04527
所,0.05661 |  大,0.15648 个,0.10320
院,0.00220 |  航,0.19712 学,0.17248
校,0.70355 |  校,0.70355 系,0.11641
的,0.01823 |  。,0.32762 ，,0.24292
航,0.03864 |  学,0.05578 航,0.03864
空,0.72972 |  空,0.72972 班,0.11571
院,0.00062 |  公,0.16828 工,0.05221
系,0.01682 |  ，,0.20093 校,0.18344
指,0.00082 |  ，,0.21322 。,0.12294
的,0.00728 |  挥,0.16042 南,0.12192
是,0.90746 |  是,0.90746 就,0.00576
：,0.00725 |  北,0.10634 中,0.07607
清,0.00516 |  
,0.32342 中,0.04348
华,0.69517 |  华,0.69517 朝,0.08718
大,0.87120 |  大,0.87120 学,0.05778
学,0.99964 |  学,0.99964 道,0.00015
、,0.14788 |  、,0.14788 ，,0.05341
北,0.11070 |  北,0.11070 南,0.09450
洋,0.00322 |  京,0.97691 平,0.00606
大,0.44838 |  大,0.44838 航,0.21022
学,0.98218 |  学,0.98218 都,0.00174
（,0.01381 |  、,0.71018 和,0.04270
今,0.04172 |  1,0.08115 北,0.07840
天,0.09557 |  北,0.17199 南,0.15436
津,0.51087 |  津,0.51087 的,0.10971
大,0.52377 |  大,0.52377 市,0.11897
学,0.99611 |  学,0.99611 专,0.00110
）,0.73463 |  ）,0.73463 、,0.06844
、,0.56941 |  、,0.56941 和,0.04919
西,0.01783 |  北,0.13569 南,0.10352
北,0.22022 |  南,0.28835 北,0.22022
工,0.01166 |  大,0.39454 航,0.06143
学,0.12864 |  程,0.54724 业,0.20315
院,0.99506 |  院,0.99506 校,0.00155
（,0.21615 |  、,0.54093 （,0.21615
今,0.06486 |  1,0.11597 现,0.08767
西,0.01218 |  北,0.23150 南,0.13923
北,0.26745 |  南,0.30696 北,0.26745
工,0.02255 |  大,0.54612 科,0.02713
业,0.47893 |  业,0.47893 程,0.27332
大,0.98608 |  大,0.98608 学,0.00621
学,0.99996 |  学,0.99996 道,0.00002
）,0.86030 |  ）,0.86030 、,0.03607
、,0.69548 |  、,0.69548 和,0.04507
厦,0.00036 |  北,0.20758 南,0.14971
门,0.89483 |  门,0.89483 大,0.02285
大,0.56956 |  大,0.56956 高,0.02303
学,0.98974 |  学,0.98974 道,0.00154
、,0.35072 |  、,0.35072 （,0.20927
华,0.01414 |  北,0.15616 南,0.15272
北,0.13368 |  东,0.46248 南,0.16664
大,0.38986 |  大,0.38986 工,0.04748
学,0.98147 |  学,0.98147 专,0.00247
工,0.00374 |  、,0.59214 （,0.04502
学,0.09711 |  程,0.72468 业,0.10628
院,0.97468 |  院,0.97468 系,0.01019
（,0.06736 |  、,0.61661 （,0.06736
今,0.07431 |  现,0.08566 北,0.08531
北,0.20339 |  北,0.20339 南,0.16055
京,0.99132 |  京,0.99132 平,0.00397
理,0.01216 |  大,0.81205 市,0.02246
工,0.99231 |  工,0.99231 科,0.00362
大,0.98714 |  大,0.98714 学,0.01109
学,0.99995 |  学,0.99995 道,0.00002
）,0.79454 |  ）,0.79454 、,0.03195
、,0.60053 |  、,0.60053 。,0.08882
西,0.02306 |  北,0.13992 南,0.11880
南,0.31014 |  南,0.31014 北,0.22751
工,0.04429 |  大,0.47552 工,0.04429
业,0.20623 |  程,0.59265 业,0.20623
专,0.01113 |  大,0.91256 学,0.04597
科,0.83066 |  科,0.83066 业,0.07830
学,0.97708 |  学,0.97708 技,0.01116
校,0.67564 |  校,0.67564 院,0.32230
（,0.35651 |  （,0.35651 、,0.33200
今,0.07108 |  北,0.12110 1,0.10153
重,0.00407 |  北,0.23625 南,0.20689
庆,0.98929 |  庆,0.98929 点,0.00740
建,0.00172 |  大,0.32047 南,0.13703
